
a	(thông tục) loại a
comic	hài hước
comical	hài hước
comicality	tính hài hước
cominform	cục thông tin cộng sản quốc tế (1947 1956)
coming	sự đến
coming-in	sự nhập (hàng hoá)
coming-out	sự xuất (hàng hoá)
comintern	Quốc tế cộng sản III ((cũng) Communistic International)
comity	sự lịch thiệp
comma	dấu phẩy
command	lệnh
command car	(quân sự) xe của sĩ quan chỉ huy
commandant	sĩ quan chỉ huy (pháo đài...)
commandeer	trưng dụng cho quân đội
commander	người điều khiển
commander-in-chief	tổng tư lệnh
commanding	chỉ huy; điều khiển
commandment	điều răn
commando	lính com-măng-đô; biệt kích
commemorate	kỷ niệm
commemoration	sự kỷ niệm; lễ kỷ niệm
commemorative	để kỷ niệm
commence	bắt đầu
commencement	sự bắt đầu
commend	khen ngợi
commendable	đáng khen ngợi
commendation	sự khen ngợi
commendatory	khen ngợi
commensal	ăn cùng mâm
commensalism	sự ăn cùng mâm
commensurability	tính có thể so được với nhau
commensurable	(+ with
commensurableness	tính có thể so được với nhau
commensurate	(+ with) cùng diện tích với
commensurateness	sự cùng diện tích
comment	lời bình luận
commentary	bài bình luận
commentation	sự bình luận
commentator	nhà bình luận
commerce	sự buôn bán; thương mại; thương nghiệp
commercial	(thuộc) buôn bán; (thuộc) thương mại; (thuộc) thương nghiệp
commercialese	văn thương mại
commercialise	thương nghiệp hoá
commercialism	óc buôn bán
commercialization	sự thương nghiệp hoá
commercialize	thương nghiệp hoá
commination	(tôn giáo) sự đe doạ bị thần thánh trừng phạt
comminatory	đe doạ
commingle	trộn lẫn; hỗn hợp
comminute	tán nhỏ
comminution	sự tán nhỏ
commiserate	thương hại (ai)
commiseration	sự thương hại
commiserative	thương hại
commissar	uỷ viên nhân dân (ở Liên-xô và một số nước khác)
commissarial	(thuộc) uỷ viên nhân dân
commissariat	(quân sự) cục quân nhu
commissary	sĩ quan quân nhu
commission	lệnh
commissionaire	người gác cửa (rạp hát
commissioned	được uỷ quyền
commissioner	người được uỷ quyền
commissionership	chức vị uỷ viên
commissure	chỗ nối
commit	giao
commitment	(như) committal
committal	sự giao phó
committee	uỷ ban
commodious	rộng rãi
commodiousness	sự rộng rãi
commodity	hàng hoá; loại hàng
commodore	thiếu tướng hải quân
common	chung
common law	luật tập tục (theo tập quán thông thường)
common-room	phòng họp của giáo sư (đại học Ôc-phớt) ((cũng) senior common-room)
commonable	có thể chăn ở đất chung (vật)
commonage	quyền được chăn thả trên đồng cỏ chung
commonalty	những người bình dân
commondo	tủ com mốt
commoner	người bình dân
commoney	hòn bi loại xấu
commonly	thường thường
commonness	tính chất chung
commonplace	điều đáng ghi vào sổ tay
commonplace-book	sổ tay
commonplaceness	tính tầm thường; tính chất sáo
commons	dân chúng
commonweal	(từ cổ
commonwealth	toàn thể nhân dân (của một nước)
commotion	sự rung chuyển
communal	công
communalise	biến thành của công
communard	chiến sĩ công xã Pa-ri
commune	xã
communicability	tính có thể truyền đạt
communicable	có thể truyền đạt
communicant	người thông tin
communicate	truyền; truyền đạt
communication	sự truyền đạt
communicative	dễ truyền đi; hay lan truyền
communicativeness	tính dễ truyền đi; tính hay lan truyền
communicator	người truyền tin
communion	sự cùng chia sẻ
communiqué	thông cáo
communise	cộng sản hoá
communism	chủ nghĩa cộng sản
communist	người cộng sản
communistic	(như) communist
communistic international	Quốc tế cộng sản III ((cũng) Communistic International)
community	dân
community chest	(từ Mỹ
communize	cộng sản hoá
commutable	có thể thay thế
commutation	sự thay thế
commutation ticket	(từ Mỹ
commutative	thay thế
commutator	người thay thế
commute	thay thế
commuter	(từ Mỹ
comose	(thực vật học) có mào lông (ở đầu hạt)
comp	(thông tục) (như) compositor
compact	sự thoả thuận
compactness	tính rắn chắc; tính chắc nịch
companion	bạn
companion-in-arms	bạn chiến đấu
companionability	tính dễ làm bạn
companionable	dễ làm bạn
companionableness	tính dễ làm bạn
companionate marriage	sự kết hôn có thoả thuận về sinh đẻ có kế hoạch và về khả năng li dị (nếu cả hai đồng ý)
companionship	tình bạn
company	sự cùng đi; sự cùng ở; sự có bầu có bạn
comparable	có thể so sánh được
comparableness	sự có thể so sánh được
comparative	so sánh
compare	(+ with) so
comparison	sự so sánh
compartment	gian
compass	com-pa ((cũng) a pair of compasses)
compass-plane	bào khum (để bào những mặt lõm)
compass-saw	cưa vanh (để cưa những đường cong)
compass-window	cửa sổ hình bán nguyệt
compassion	lòng thương
compassionate	thương hại
compassionateness	lòng thương
compatibility	tính hợp nhau
compatible	(+ with) hợp
compatriot	đồng bào
compatriotic	(thuộc) đồng bào
compeer	người ngang hàng
compel	buộc phải
compendia	bản tóm tắt
compendious	súc tích ((văn học))
compendiousness	tính súc tích
compendium	bản tóm tắt
compensate	bù
compensation	sự đền bù
compensative	đền bù
compensator	cơ cấu bù
compensatory	đền bù
compete	đua tranh
competence	năng lực
competent	có đủ khả năng
competition	sự cạnh tranh
competitive	cạnh tranh
competitiveness	tính cạnh tranh
competitor	người cạnh tranh; đấu thủ
compilation	sự biên soạn
compile	biên soạn
compiler	người biên soạn
complacence	tính tự mãn
complacency	tính tự mãn
complacent	tự mãn
complain	kêu ca
complainant	người thưa kiện
complaint	lời than phiền
complaisance	tính đễ dãi
complaisant	dễ tính
complement	phần bù
complementary	bù
complete	đầy đủ
completely	hoàn toàn
completeness	tính chất hoàn toàn
completion	sự hoàn thành
completive	để bổ sung
complex	phức tạp
complexion	nước da
complexity	sự phức tạp
compliance	sự bằng lòng
compliant	hay chiều
complicacy	sự phức tạp
complicate	làm phức tạp
complicated	phức tạp
complicatedness	tính chất phức tạp
complication	sự phức tạp
complicity	tội a tòng
compliment	lời khen
complimentary	ca ngợi
complin	(tôn giáo) buổi lễ cuối ngày
compline	(tôn giáo) buổi lễ cuối ngày
comply	tuân theo
component	hợp thành
comport	(+ with) xứng với
compose	soạn
composed	bình tĩnh
composedness	tính bình tĩnh
composer	người soạn nhạc
composing	sự sáng tác
composing-machine	(ngành in) máy sắp chữ
composing-room	(ngành in) buồng sắp chữ
composing-stick	(ngành in) khung sắp chữ
composite	hợp lại; ghép
composition	sự hợp thành
compositor	(ngành in) thợ sắp chữ
compost	phân trộn
composure	sự bình tĩnh
compotation	sự chén chú chén anh
compotator	bạn chén chú chén anh
compote	mứt quả
compound	(hoá học) hợp chất
compoundable	có thể điều đình
comprador	mại bản
comprehend	hiểu
comprehensibility	tính hiểu được
comprehensible	có thể hiểu
comprehensibleness	tính hiểu được
comprehension	sự hiểu
comprehensive	bao hàm toàn diện
comprehensiveness	tính chất bao hàm; tính chất toàn diện
compress	(y học) gạc
compressibility	tính nén được
compressible	có thể nén được
compression	sự ép
compressor	(kỹ thuật) máy nén
comprise	gồm có
compromise	sự thoả hiệp
comptometer	máy đếm
comptroller	người kiểm tra
compulsion	sự ép buộc
compulsive	ép buộc
compulsiveness	tính chất ép buộc
compulsoriness	tính chất ép buộc
compulsory	ép buộc
compunction	sự ăn năn
compunctious	làm cho hối hận
computability	tính có thể tính được
computable	có thể tính
computation	sự tính toán
compute	tính toán
computer	máy điện toán
computerize	trang bị máy điện toán
comrade	bạn
comrade-in-arms	bạn chiến đấu
comradeship	tình bạn
con	học thuộc lòng
concatenate	móc vào nhau
concatenation	sự móc vào nhau
concave	lõm
concavity	tính lõm
concavo-concave	hai mặt lõm
concavo-convex	lõm lồi
conceal	giấu giếm
concealer	người giấu giếm
concealment	sự giấu giếm
concede	nhận
conceit	tính tự phụ
conceited	tự phụ
conceivability	tính có thể hiểu được
conceivable	có thể hiểu được
conceive	nghĩ
concentrate	tập trung
concentrated	tập trung
concentration	sự tập trung; nơi tập trung
concentre	tập trung; hợp vào một trung tâm; quy vào một tâm điểm
concentric	đồng tâm
concentrical	đồng tâm
concentricity	tính đồng tâm
conception	quan niệm
conceptive	có thể quan niệm
conceptual	thuộc quan niệm
conceptualism	(triết học) thuyết khái niệm
conceptualist	(triết học) người theo thuyết khái niệm
concer-grand	(âm nhạc) pianô cánh
concer-hall	oom) 
concern	(+ with) sự liên quan tới
concerned	có liên quan; có dính líu
concerning	về việc
concernment	việc
concerpt	khái niệm
concert	sự phối hợp
concert-room	oom) 
concertealy	có dự tính; có bàn tính; có phối hợp
concerted	có dự tính
concertina	(âm nhạc) đàn côngxectina
concerto	(âm nhạc) côngxectô
concession	sự nhượng
concessionaire	chủ đồn điền
concessionnaire	chủ đồn điền
concessive	nhượng bộ
concettism	lối hành văn cầu kỳ bóng bảy; văn cầu kỳ bóng bảy
conch	(động vật học) ốc xà cừ
concha	(giải phẫu) loa tai ((cũng) conch)
conchiferous	(động vật học) có vỏ (ốc
conchoid	(toán học) concoit
conchologist	nhà nghiên cứu động vật thân mềm
conchology	khoa động vật thân mềm
conchy	(từ lóng) người từ chối nhập ngũ vì thấy lương tâm không đúng
conciliate	thu phục được
conciliation	sự hoà giải
conciliator	người hoà giải
conciliatory	hoà giải
concinnity	lối hành văn thanh nhã
concise	ngắn gọn
conciseness	tính ngắn gọn; tính súc tích (văn)
concision	tính ngắn gọn; tính súc tích (văn)
conclave	hội nghị các giáo chủ áo đỏ (để bầu giáo hoàng)
conclude	kết thúc
conclusion	sự kết thúc
conclusive	cuối cùng
conclusiveness	tính chất để kết thúc
concoct	pha
concoction	sự pha chế; thuốc pha chế
concolorous	(sinh vật học) đồng màu
concomitance	sự cùng xảy ra
concomitant	đi kèm với
concord	sự hoà hợp
concordance	sự phù hợp
concordant	(+ with) hợp với
concordat	giáo ước (điều ước ký giữa giáo hoàng và chính phủ một nước)
concourse	đám đông tụ tập
concrescence	(sinh vật học) sự liên trưởng
concrete	cụ thể
concrete-mixer	máy trộn bê tông
concretely	cụ thể
concretion	sự đúc lại thành khối; sự kết lại rắn chắc
concretionary	kết thành khối
concretize	cụ thể hoá
concubinage	sự lấy vợ lẽ
concubinary	ở làm lẽ
concubine	vợ lẽ
concupiscence	nhục dục
concupiscent	ưa nhục dục
concur	trùng nhau
concurrence	sự trùng nhau
concurrent	xảy ra đồng thời
concuss	lay chuyển
concussion	sự rung chuyển
concussion grenade	lựu đạn có sức ép mạnh
condemn	kết án
condemnable	có thể kết án được
condemnation	sự kết án
condensability	tính có thể hoá đặc (chất lỏng); tính có thể ngưng lại (hơi); tính có thể tụ lại (ánh sáng)
condensable	có thể hoá đặc (chất lỏng); có thể ngưng lại (hơi); có thể tụ lại (ánh sáng)
condensation	sự hoá đặc (chất nước); sự ngưng (hơi); sự tụ (ánh sáng)
condense	làm đặc lại (chất nước); làm ngưng lại (hơi); làm tụ lại (ánh sáng); hoá đặc (chất nước); ngưng lại (hơi); tụ lại (ánh sáng)
condensed	cô đặc
condensedness	tính cô đặc
condenser	(vật lý) bình ngưng
condenserery	nhà máy sữa dặc
condescend	hạ mình
condescending	hạ mình
condescension	sự hạ mình
condign	đáng đời
condiment	đồ gia vị
condition	điều kiện
conditional	ước định
conditioned	có điều kiện
conditioner	(như) air-conditioner
condolatory	chia buồn
condole	(+ with) chia buồn
condolence	lời chia buồn
condom	bao dương vật (chống thụ thai)
condominium	chế độ quản lý chung
condonation	sự tha thứ
condone	tha
condor	(động vật học) kền kền khoang cổ (ở Nam-Mỹ)
conduce	đưa đến
conducive	có ích
conduct	hạnh kiểm
conduct-money	tiền đi đường (cho người làm chứng)
conductance	(vật lý) độ dẫn
conductibility	(vật lý) tính dẫn (nhiệt điện)
conductible	(vật lý) có tính dẫn (nhiệt điện)
conduction	(vật lý) sự dẫn; tính dẫn
conductive	(vật lý) dẫn
conductivity	(vật lý) tính dẫn
conductor	người chỉ huy
conduit	máng nước
conduplicate	(thực vật học) gập đôi (lá
condyle	(giải phẫu) cục lõi (ở đầu xương)
cone	hình nón; vật hình nón
coney	(từ Mỹ
confab	(thông tục) câu chuyện; chuyện phiếm
confabulate	nói chuyện; nói chuyện phiếm
confabulation	sự nói chuyện; sự nói chuyện phiếm
confection	sự pha chế
confectioner	người làm mứt kẹo
confectionery	mứt; kẹo
confederacy	liên minh
confederate	liên minh
confederation	liên minh
confer	phong
conferee	người tham gia hội nghị
conference	sự bàn bạc
conferential	bàn bạc
conferment	sự ban tước
confess	thú tội
confession	sự thú tội
confessional	xưng tội
confessor	giáo sĩ nghe xưng tội
confetti	công-phét-ti
confidant	bạn tâm tình
confidante	bạn gái tâm tình
confide	nói riêng; giãi bày tâm sự
confidence	sự nói riêng; sự giãi bày tâm sự
confidence game	(từ Mỹ
confidence trick	(từ Mỹ
confident	tin chắc
confidential	kín
confiding	cả tin
configuration	hình thể
configure	định hình thể
confine	giam giữ
confinement	sự giam
confirm	xác nhận; chứng thực
confirmation	sự xác nhận; sự chứng thực
confirmative	xác nhận
confirmatory	để xác nhận; để chứng thực
confirmed	ăn sâu
confiscable	có thể tịch thu
confiscate	tịch thu
confiscation	sự tịch thu
confiscatory	để tịch thu
conflagration	đám cháy lớn
conflation	sự hợp vào với nhau
conflict	sự xung đột
conflicting	đối lập
confluence	chỗ hợp dòng
confluent	hợp dòng (sông)
conflux	chỗ hợp dòng
conform	(+ to) làm cho hợp với
conformability	tính chất phù hợp
conformable	hợp với
conformableness	tính chất phù hợp
conformation	hình thể
conformism	chủ nghĩa tuân thủ
conformist	(tôn giáo) người tuân giáo (theo giáo phái ở Anh)
conformity	(+ to
confound	làm thất bại
confounded	uột ết khuộng chết tiệt
confoundedly	(thông tục) quá chừng
confraternity	tình anh em
confrère	bạn đồng nghiệp
confront	mặt giáp mặt với
confrontation	sự chạm trán
confucianism	đạo Khổng
confucianist	người theo đạo Khổng
confuse	làm lộn xộn
confused	lẫn lộn
confusedness	tính chất lẫn lộn
confusion	sự lộn xôn
confutation	sự bác bỏ (một lý lẽ)
confute	bác bỏ
cong	(từ Mỹ
congeal	làm đông lại; đông lại
congealable	có thể đông lại
congealment	sự đông lại
congelation	sự đông lại
congener	vật đồng loại
congeneric	(sinh vật học) cùng giống
congenerical	(sinh vật học) cùng giống
congenerous	cùng loại
congenial	cùng tính tình
congeniality	sự hợp nhau
congenialness	sự hợp nhau
congenital	bẩm sinh
congenitality	tính bẩm sinh
conger	cá lạc
congeries	mớ
congest	làm đông nghịt
congested	đông nghịt
congestion	sự đông nghịt
congestive	(y học) sung huyết
conglobate	hình quả bóng
conglomerate	khối kết
conglomeration	sự kết khối
conglutinate	dán lại (bằng hồ); dính lại
congou	chè công phu (một thứ chè đen Trung quốc)
congratulate	chúc mừng
congratulation	sự chúc mừng
congratulator	người chúc mừng
congratulatory	để chúc mừng
congregate	tập hợp
congregation	sự tập hợp
congress	sự nhóm hợp
congressional	(thuộc) đại hội
congressman	nghị sĩ (Mỹ
congresswoman	nữ nghị sĩ (Mỹ
congruity	sự thích hợp
congruous	phù hợp
congruousness	tính phù hợp
congruence	sự thích hợp
congruent	thích hợp
conic	(thuộc) hình nón
conical	hình nón
conifer	(thực vật học) cây loại tùng bách
coniferous	(thực vật học) có quả nón; (thuộc) loại tùng bách
coniform	hình nón
conjecturable	có thể đoán
conjectural	phỏng đoán
conjecture	sự phỏng đoán
conjoin	kết giao
conjoint	nối
conjugal	(thuộc) vợ chồng
conjugate	kết hợp
conjugation	sự kết hợp
conjunct	người chung vốn (với người khác); người liên kết (với người khác
conjunction	sự liên kết
conjunctional	liên kết
conjunctiva	(giải phẫu) màng kết
conjunctive	để nối tiếp
conjunctivitis	(y học) viêm màng kết
conjuncture	tình thế
conjuration	sự phù phép
conjure	làm trò ảo thuật
conjurer	người làm trò ảo thuật
conjuring	trò ảo thuật
conjuror	người làm trò ảo thuật
conk	(từ lóng) mũi
conkers	trò chơi chọi sâu hạt
conky	(có) mũi to (người)
conn	(từ Mỹ
connate	bẩm sinh
connect	nối
connected	mạch lạc (bài nói
connectedness	sự mạch lạc
connectible	có thể nối lại với nhau
connection	sự liên quan
connective	để nối
connexion	sự liên quan
conning-tower	đài chỉ huy
conniption	(từ Mỹ
connivance	sự thông đồng
connive	(sinh vật học) thông đồng
connivent	(sinh vật học) chụm lại
connoisseur	người sành sỏi
connotate	bao hàm
connotation	nghĩa rộng; ý nghĩa (của một từ)
connote	bao hàm
connubial	(thuộc) hôn nhân
connubiality	tình trạng vợ chồng; đời sống vợ chồng
conoid	hình nêm
conquer	đoạt
conquerable	có thể bị xâm chiếm
conquerableness	tính có thể bị xâm chiếm
conquering	xâm chiếm
conquero	người đi xâm chiếm
conquest	sự xâm chiếm
consanguine	cùng dòng máu
consanguineous	cùng dòng máu
consanguineousness	quan hệ dòng máu; tình máu mủ
consanguinity	quan hệ dòng máu; tình máu mủ
conscience	lương tâm
conscience-struck	bị lương tâm cắn rứt
conscienceless	vô lương tâm
conscientious	có lương tâm
conscientiousness	sự tận tâm; sự làm theo lương tâm; sự ngay thẳng
conscious	biết rõ
consciously	có ý thức
consciousness	sự hiểu biết
conscribable	có thể bắt đi lính
conscribe	(từ hiếm
conscript	người đến tuổi đi lính
conscription	chế độ cưỡng bách tòng quân; sự cưỡng bách tòng quân
consecrate	'kɔnsikreit/
consecration	sự hiến dâng
consecution	sự
consecutive	liên tục
consecutiveness	sự liên tục
consenescence	sự suy nhược vì già
consensual	(sinh vật học) liên ứng
consensus	sự đồng lòng
consent	sự đồng ý
consentaneity	sự hoà hợp
consentaneous	hoà hợp
consentient	đồng ý
consequence	hậu quả
consequent	do ở
consequential	do hậu quả
consequently	do đó
conservancy	sự bảo vệ (của nhà nước đối với rừng
conservation	sự giữ gìn
conservatism	chủ nghĩa bảo thủ
conservative	để giữ gìn
conservatoire	trường nhạc
conservator	người giữ gìn
conservatory	nhà kính (trồng cây)
conserve	mứt
consider	cân nhắc
considerable	đáng kể
considerably	đáng kể
considerate	ân cần
considerateness	sự ân cần
consideration	sự cân nhắc
considering	vì rằng
consign	gửi (tiền
consignation	sự gửi; sự gửi (hàng) để bán
consignee	người nhận
consigner	người gửi
consignment	sự gửi (hàng hoá); sự gửi hàng để bán
consignor	người gửi
consilience	sự trùng hợp
consilient	trùng hợp
consist	(+ of) gồm có
consistence	độ đặc
consistency	(như) consistence
consistent	đặc
consistently	(+ with) phù hợp với
consistory	(tôn giáo) hội đồng giáo chủ (có cả giáo hoàng)
consolable	có thể an ủi
consolation	sự an ủi
consolatory	an ủi
console	an ủi
console-mirror	gương chân quỳ
console-radio	(rađiô) đứng
console-table	bàn chân quỳ
consoler	người an ủi
consolidate	làm (cho) chắc
consolidated-annuities	((viết tắt) của consolidated-annuities) công trái hợp nhất (của chính phủ Anh từ năm 1751)
consolidation	sự làm vững chắc
consols	((viết tắt) của consolidated-annuities) công trái hợp nhất (của chính phủ Anh từ năm 1751)
consommé	nước dùng
consonance	(âm nhạc) sự thuận tai
consonant	(âm nhạc) thuận tai
consonantal	(ngôn ngữ học) (thuộc) phụ âm
consort	chồng
consortia	côngxoocxiom
consortium	côngxoocxiom
conspectus	đại cương
conspicuity	sự dễ thấy
conspicuous	dễ thấy
conspicuously	dễ thấy
conspicuousness	sự dễ thấy
conspiracy	âm mưu
conspirator	người âm mưu
conspiratress	người đàn bà âm mưu
conspire	âm mưu
conspue	(từ hiếm
constable	cảnh sát
constabulary	(thuộc) cảnh sát
constancy	sự bền lòng
constant	bền lòng
constantly	(toán học); (vật lý) hằng số
constellate	họp thành chòm sao
constellation	chòm sao
consternate	làm kinh hoàng
consternated	kinh hoàng
consternation	sự kinh hoàng
constipate	(y học) làm táo bón
constipated	(y học) bị táo bón
constipation	(y học) chứng táo bón
constitionalism	người ủng hộ hiến pháp
constitionalist	người theo chủ nghĩa lập hiến
constitionality	tính chất lập hiến
constitionalize	làm đúng hiến pháp
constitionally	hợp hiến pháp
constituency	các cử tri
constituent	cấu tạo
constitute	cấu tạo
constitution	hiến pháp
constitutional	(thuộc) hiến pháp
constitutive	cấu thành
constitutor	người sáng lập
constrain	bắt ép
constrained	ngượng nghịu
constraint	sự bắt ép
constrict	thắt lại
constricted	hẹp hòi nông cạn
constriction	sự thắt
constrictive	dùng để bóp nhỏ lại; sự co khít
constrictor	(giải phẫu) cơ co khít
constringe	rút lại
constringent	siết lại
construct	làm xây dựng (nhà cửa...)
construction	sự xây dựng
constructional	(thuộc) sự xây dựng
constructive	có tính cách xây dựng
constructor	người xây dựng
construe	phân tích (một câu)
construing	sự phân tích (một câu)
consubstantial	cùng một thể chất
consubstantiality	tính đồng thể chất
consubstantiation	(tôn giáo) thuyết đồng thể chất (cho rằng máu của Chúa Giê-xu có trong rượu và bánh thánh)
consuetude	tập quán
consuetudinary	(thuộc) tập quán
consul	lãnh sự
consul-general	tổng lãnh sự
consular	(thuộc) lãnh sự
consulate	chức lãnh sự
consulship	chức lãnh sự
consult	hỏi ý kiến
consultant	người hỏi ý kiến
consultation	sự hỏi ý kiến
consultative	để hỏi ý kiến; tư vấn
consulting	cố vấn
consulting-hours	giờ khám bệnh
consulting-room	phòng khám bệnh
consumable	có thể bị thiêu huỷ
consumables	những thứ có thể tiêu dùng
consume	thiêu
consumedly	quá độ
consumer	người tiêu dùng
consumer goods	hàng tiêu dùng
consummate	tài
consummation	sự làm xong
consumption	sự tiêu thụ
consumptive	tiêu thụ
consumptively	như người lao phổi
consumptiveness	(y học) sự mắc bệnh lao phổi
cont-line	(hàng hải) khoảng trống (giữa những mối của sợi dây thừng
contact	sự chạm
contact lenses	kính đeo lồng vào con ngươi
contact man	nhân viên cơ quan phụ trách việc tiếp xúc với nhân dân
contactor	(vật lý) cái tiếp xúc
contagion	sự lây ((nghĩa đen) & (nghĩa bóng))
contagious	lây ((nghĩa đen) & (nghĩa bóng))
contagiousness	sự lây
contain	chứa đựng
containable	có thể nén lại
container	cái đựng
containment	(chính trị) chính sách ngăn chận
contaminate	làm bẩn
contamination	sự làm bẩn
contemn	(văn học) khinh rẻ
contemner	(văn học) người khinh rẻ
contemplate	ngắm
contemplation	sự ngắm
contemplative	trầm ngâm
contemplativeness	sự trầm ngâm
contemplator	người ngắm
contemporaneity	tính chất cùng thời
contemporaneous	(+ with) cùng thời (với)
contemporaneousness	tính chất cùng thời
contemporary	emporary) 
contemporise	đồng thời hoá
contemporize	đồng thời hoá
contempt	sự coi khinh
contemptibility	tính đáng khinh
contemptible	đáng khinh
contemptibleness	tính đáng khinh
contemptuous	khinh thường
contemptuousness	sự khinh bỉ
contend	chiến đấu
contender	đối thủ
content	nội dung
contented	bằng lòng
contentedness	sự bằng lòng
contention	sự cãi nhau; sự tranh luận; sự tranh chấp; sự bất hoà
contentious	hay cãi nhau
contentiousness	tính hay cãi nhau
contentment	sự bằng lòng
conterminal	có đường biên giới chung
conterminous	có đường ranh giới chung
contest	cuộc tranh luận
contestable	có thể tranh cãi
contestableness	tính có thể tranh cãi
contestant	đấu thủ
contestation	sự tranh cãi
context	(văn học) văn cảnh
contextual	(thuộc) văn cảnh
contexture	sự đan kết lại với nhau
contiguity	sự kề nhau
contiguous	kề nhau
contiguousness	sự kề nhau
continence	sự tiết dục
continent	tiết độ
continental	(thuộc) lục địa
contingency	sự ngẫu nhiên
contingent	ngẫu nhiên
continual	liên tục
continualness	tính liên tục
continuance	sự tiếp tục
continuant	(ngôn ngữ học) xát (phụ âm)
continuation	sự tiếp tục
continuative	để tiếp tục
continuator	người làm tiếp
continue	tiếp tục
continuity	sự liên tục
continuous	liên tục
continuously	liên tục
continuousness	tính liên tục
contorniate	có gờ nổi (huy chương
contort	vặn xoắn; làm vặn vẹo
contorted	vặn vẹo
contortedness	sự vặn vẹo
contortion	sự xoắn lại
contortionist	người làm trò uốn mình
contour	đường viền
contour-fighter	(từ Mỹ
contour-line	đường mức (trên bản đồ...)
contour-map	bản đồ đường mức
contour-ploughing	sự cày theo đường mức
contra	đối với
contra-bassoon	(âm nhạc) côngfagôt (nhạc khí)
contraband	sự buôn lậu; sự lậu thuế
contrabandist	người buôn lậu
contrabass	(âm nhạc) côngbat (nhạc khí)
contraception	phương pháp tránh thụ thai; sự tránh thụ thai
contraceptive	để tránh thụ thai
contract	hợp đồng
contractibility	tính có thể thu nhỏ
contractible	có thể thu nhỏ
contractile	có thể rút lại
contractility	tính có thể rút lại
contraction	sự tiêm nhiễm
contractive	co lại được
contractiveness	tính co lại được
contractor	thầu khoán
contractual	bằng hợp đồng
contradication	(y học) sự chống chỉ định
contradict	mâu thuẫn với
contradictable	có thể bị cãi lại
contradiction	sự mâu thuẫn
contradictious	hay nói trái lại; hay nói ngược lại
contradictiousness	tính hay nói trái lại; tính hay nói ngược lại
contradictor	người nói trái lại
contradictory	mâu thuẫn
contradistinction	sự trái ngược
contradistinguish	phân biệt (bằng cách so sánh
contralto	(âm nhạc) giọng nữ trầm
contraposition	sự trái ngược nhau
contrapositive	trái ngược
contraprop	(kỹ thuật) cánh quạt ngược cùng trục
contraption	máy kỳ cục
contrapuntal	(âm nhạc) đối âm
contrapuntist	(âm nhạc) người thạo đối âm
contrariety	sự trái ngược
contrarily	trái ngược
contrariness	tính chất trái lại
contrarious	(từ cổ
contrariwise	ngược lại
contrary	trái ngược
contrast	sự tương phản
contrasty	đen trắng rõ rệt (phim ảnh
contravallation	hệ thống công sự bao vây (đắp quanh thành phố bị bao vây); chiến hào bao vây
contravariant	(toán học) phản biến
contravene	mâu thuẫn với
contravention	sự vi phạm
contretemps	sự trắc trở
contribute	đóng góp
contribution	sự đóng góp
contributor	người đóng góp
contributory	đóng góp
contrite	ăn năn
contrition	sự ăn năn
contrivance	sáng kiến
contrive	nghĩ ra
contriver	người nghĩ ra
control	quyền hành
control tower	đài hướng dẫn máy bay lên xuống (ở sân bay)
controllability	tính có thể kiểm tra
controllable	có thể kiểm tra
controller	người kiểm tra
controllership	chức kiểm tra
controversial	có thể gây ra tranh luận
controversialist	người tranh luận
controversy	sự tranh luận
controvert	bàn cãi
controvertible	có thể bàn cãi
controvertst	người tranh luận
contumacious	bướng bỉnh
contumaciousness	sự bướng bỉnh
contumacy	sự lăng mạ
contumelious	làm nhục
contumeliousness	sự lăng mạ
contumely	điều nhục nhã
contuse	làm giập
contusion	sự làm giập; (y học) sự đụng giập
contusive	làm giập
conundrum	câu đố
conurbation	khu thành phố (tập trung các thành phố)
convalesce	lại sức
convalescence	sự lại sức
convalescent	đang lại sức
convallaria	(thực vật học) giống quân anh
convection	(vật lý) sự đối lưu
convectional	(vật lý) đối lưu
convector	lò sưởi đối lưu
convene	triệu tập (hội nghị...)
convener	người triệu tập họp
convenience	sự tiện lợi
convenient	tiện lợi
convent	nữ tu viện
convention	hội nghị (chính trị); sự triệu tập
conventional	quy ước
conventionalism	thuyết quy ước
conventionalist	người quá nệ tập tục
conventionality	tập quán
conventionary	do thoả thuân; theo quy ước
conventual	(thuộc) nữ tu viện
converge	(toán học); (vật lý) hội tụ (tia sáng); đồng quy
convergence	sự hội tụ
convergent	(vật lý); (toán học) hội tụ
converging	(vật lý); (toán học) hội tụ
conversable	nói chuyện dễ ưa
conversableness	tính nói chuyện dễ ưa
conversance	tính thân mật
conversancy	tính thân mật
conversant	thân mật
conversation	sự nói chuyện; cuộc nói chuyện
conversational	(thuộc) sự nói chuyện
conversationalist	người có tài nói chuyện
conversationist	người có tài nói chuyện
conversazione	buổi dạ hội văn học nghệ thuật
xem conversazione
convert	người cải đạo
converted	đã cải đạo; theo đạo
converter	(kỹ thuật) lò chuyển
convertibility	sự có thể đổi
convertible	có thể đổi
convex	(toán học)
convexity	tính lồi
convexo-concave	lồi lõm
convexo-convex	hai mặt lồi
convey	chở
conveyable	có thể chở
conveyance	sự chở
conveyancer	luật sư chuyên thảo giấy chuyển nhượng (sang tên) tài sản
conveyancing	(pháp lý) việc thảo giấy chuyển nhượng tài sản
conveyer	người đem
convict	người bị kết án tù
conviction	sự kết án
convictive	có thể làm cho người ta tin
convince	làm cho tin
convinced	tin chắc
convincible	có thể thuyết phục được
convincing	làm cho người ta tin
convincingness	sức thuyết phục
